City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
509,Alushta,UA,44.6667,34.4167,44.76,66,7,11.86
510,Aktau,KZ,43.65,51.2,62.91,81,29,8.61
511,Humaita,BR,-7.5061,-63.0208,91.49,50,100,2.93
512,Shelabolikha,RU,53.4131,82.6167,42.01,92,100,7.36
513,Sotouboua,TG,8.5667,0.9833,77.05,67,15,1.34
514,Barreirinhas,BR,-2.7469,-42.8264,86.32,58,31,12.28
515,Kedrovyy,RU,56.1667,91.8167,27.01,78,100,6.04
516,Nioki,CD,-2.7167,17.6833,68.0,98,100,2.62
517,Kalagarh,IN,29.5,78.75,65.82,74,0,4.43
518,Saint-Francois,FR,46.4154,3.9054,69.24,64,0,11.5
519,Znamenskoye,RU,57.1281,73.8282,37.94,93,97,5.79
520,Florence,IT,43.7667,11.25,69.3,80,0,2.3
521,Agropoli,IT,40.3469,14.9966,65.08,72,0,3.44
522,Sauda,NO,59.6506,6.3542,43.68,59,100,6.91
523,Orbetello,IT,42.4408,11.2196,66.58,84,33,3.6
524,Rabo De Peixe,PT,37.8,-25.5833,65.71,93,20,11.5
525,Tarabuco,BO,-19.1667,-64.9167,69.96,18,27,15.05
526,Varzea Alegre,BR,-5.35,-40.3833,95.95,25,99,5.46
527,Parrita,CR,9.5201,-84.3225,82.06,80,100,7.34
528,Kango,GA,0.1943,10.0951,74.07,98,100,1.83
529,Wana,PK,32.2989,69.5725,59.88,60,0,2.01
530,Mineros,BO,-17.1167,-63.2333,90.75,45,98,10.71
531,Freeport,US,40.6576,-73.5832,61.29,39,0,19.57
532,Dzerzhinsk,RU,56.2389,43.4631,33.62,86,75,4.47
533,Brigantine,US,39.4101,-74.3646,61.02,49,20,12.66
534,Salisbury,GB,51.0693,-1.7957,56.01,93,0,6.91
535,Yerky,UA,48.9906,30.9882,41.23,85,100,15.03
536,Mongo,TD,12.1844,18.693,87.64,37,13,2.04
537,San Joaquin,US,37.9333,-121.3011,86.95,42,0,0.0
538,Santa Cruz,BO,-17.8,-63.1667,90.86,52,75,17.27
539,Bereda,ES,43.2686,-7.5406,59.41,91,69,12.12
540,Thiers,FR,45.8333,3.5,70.12,72,100,11.9
541,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,86.43,35,83,4.79
542,Olafsvik,IS,64.8945,-23.7142,43.02,72,43,13.44
